tag,headline,summary,,date
Cardano,"Cardano’s Plomin Hard Fork Goes Live, Ushering in On-Chain Governance","Plomin comes just four months after Cardano’s Chang hard fork, which put many of the mechanisms in place for Wednesday’s upgrade.",,29-01-2025
Cardano,"Cardano Will Transition to Full Decentralized Governance After Wednesday's Hard Fork, Cardano Foundation Says",A hard fork is a non-backwards compatible change to the blockchain's programming.,,29-01-2025
Cardano,"Solana, Dogecoin, XRP Plunge 10% as Bloody Start to Week Sees $770M Long Liquidations","Traders of BTC-tracked products lost $238 million in the past 24 hours, majorly in early European and Asian afternoon hours.",,27-01-2025
Cardano,First Mover Americas: Rotation to Altcoins Has Started With Gensler's Exit Date Set,"The latest price moves in crypto markets in context for November 22, 2024.",,22-11-2024
Cardano,Cardano's ADA Leaps to 2.5-Year High of 90 Cents as Whale Holdings Exceed $12B,"On-chain activity shows the involvement of large investors and institutions, indicating that the price surge could have staying power.",,22-11-2024
Cardano,Cardano Foundation Spent $23.7M in 2023: Financial Insights Report,"$4.55 million was spent on ""central operating costs.""",,13-11-2024
Cardano,'High Likelihood' Cardano Founder Charles Hoskinson Will Become Trump's Crypto Advisor,"Cardano's ADA token surged as a top chief to Cardano founder Charles Hoskinson said there's a ""high likelihood"" he could become Trump's crypto advisor. Plus, France's gambling regulator is examining the operations of Polymarket and WonderFi's CEO has been released after being abducted. ""CoinDesk Daily"" host Christine Lee breaks down the biggest headlines in the crypto industry today.",,08-11-2024
Cardano,From Smuggling Gold Out of Africa to Bridging Bitcoin and Cardano,"A longtime regular on the crypto scene, Sovryn and BitcoinOS founder Edan Yago learned the importance of financial sovereignty at an early age.",,26-10-2024
Cardano,Bitcoin Liquidity Could Flow to Cardano Ecosystem With New BTC Bridge,"EMURGO, a founding entity of Cardano, will be among ecosystem buildings developing tools and services to attract the BTC capital.",,25-10-2024
Cardano,"Cardano’s Chang Hard Fork Goes Live, Introducing On-Chain Governance",The highly anticipated upgrade turns Cardano's ADA cryptocurrency into a governance token.,,01-09-2024
Cardano,The Protocol: The Impact of Telegram CEO's Arrest on TON Blockchain,"Blockchain analysts are reminding investors how closely the messaging app Telegram, whose just-arrested CEO Pavel Durov awaits a hearing in a French court, is intertwined with the fate of TON blockchain and its native cryptocurrency, toncoin. ALSO: What's up with Vitalik's DeFi diss?",,28-08-2024
Cardano,"Cardano Blockchain Heads for 'Chang Hard Fork,' Biggest Upgrade in Two Years",The main feature of the upgrade is to give Cardano the ability to introduce on-chain governance features.,,28-08-2024
Cardano,Cardano Mitigates Attack; and Will Animoca Brands Go Public?,"""CoinDesk Daily"" host Jennifer Sanasie breaks down the biggest headlines in the crypto industry today.The Cardano blockchain successfully mitigates a DDoS attack; Investcorp and Securitize launch a fund tokenization partnership which will initially develop tokenized funds with Investcorp's Strategic Capital Group; And Animoca Brands looks to go public in 2025. Watch.This episode was hosted, edited, and produced by Jennifer Sanasie.",,26-06-2024
Cardano,Cardano Unfazed by Failed DDoS Attack Targeting Staked ADA,No downtime was observed as a Cardano developer managed to attack the attacker and take back some funds.,,26-06-2024
Cardano,"Cardano Is on Track for Voltaire Upgrade This Month, Co-Founder Hoskinson Says",The network is ready for its Chang fork and waiting for 70% of operators to install the new node.,,11-06-2024
Cardano,"Ripple's Brad Garlinghouse Foresees XRP, Solana, Cardano ETFs: Consensus 2024","It's only a matter of time, the CEO of Ripple said on stage at Consensus 2024 in Austin.",,30-05-2024
Cardano,Solana Gains More Than  Bitcoin as Trader Speculates an 'Extreme Move' Is Ahead,"The broader altcoin market also showed signs of rebounding from oversold levels, one analyst noted.",,08-02-2024
Cardano,"Solana, Cardano Lead Crypto Losses; Terraform Labs Declares Bankruptcy","""CoinDesk Daily"" host Amitoj Singh breaks down the biggest headlines in the crypto industry today, including a closer look at why the crypto market started the week in the red, with Solana's SOL and Cardano's ADA leading the losses. An @xpayments profile on X (formerly Twitter) sent adoption hopes flying among crypto circles. And, Terraform Labs files for bankruptcy.",,22-01-2024
Cardano,Total Value of Cardano DeFi Ecosystem Nears $450M Amid Layer 1 Push; ADA Rockets 17%,"The total value locked (TVL) of all Cardano-based tokens jumped to over $440 million late earlier this week, crossing the previous peak of $330 million set in April.",,14-12-2023
Cardano,Cardano Jumps 20% as Analyst Eyes Bitcoin Pullback to $40K to 'Fill CME Gap',"Market observers ""underappreciate"" future inflows from institutional investors to bitcoin, asset 21.co CEO said in a CoinDesk TV interview.",,08-12-2023
Cardano,"[SPONSORED CONTENT] CEO of the Cardano Foundation, Frederik Gregaard talks about Cardano's strategic principle, Blockchain for Good",Gregaard sits down with us in the studio at the 2023 Cardano Summit to talk about global trade infrastructure using blockchain technology and a specific use case with Georgian wine. Cardano is making it their mission to ensue third-generation blockchains are providing utility to people worldwide.,,13-11-2023
Cardano,[SPONSORED CONTENT] Alvaro Cosi of Switzerland for UNHCR shares his perspective on raising awareness and funding for refugees utilizing blockchain technology,"Alvaro Cosi of Switzerland for United Nations High Commissioner for Refugees (UNHCR) talks about how they're utilizing blockchain technology to encourage people to stake their digital assets through the Cardano stake pool, allowing them to receive rewards, and in turn, still support refugees.",,13-11-2023
Cardano,Cardano-Based DEX MuesliSwap to Open Refund Site 'Soon' as Some Users Voice Concerns,"The DEX previously said traders lost a significant amount of ADA due to a “misunderstanding” about how the platform operates, but confirmed it would refund losses at the time.",,09-11-2023
Cardano,"Cardano Blockchain Transactions Jumped 49% in Q2 on Network Upgrades, New Users",Blockchain load — a measure of how much data is contained in blocks over a certain period — rose to 50% in the second quarter from under 40% in the first. It peaked at 81% in May.,,07-08-2023
Cardano,"Celsius to Potentially Sell More Than $170M in ADA, MATIC, SOL and Altcoins for BTC, ETH",Court documents from last November give a rough picture of the lender’s altcoin holdings.,,30-06-2023
Cardano,Robinhood Lays Off 7% of Full-Time Staff in Third Round of Job Cuts Since April 2022: WSJ,"Robinhood (HOOD) has shed 7% of its full-time staff, or about 150 employees, in a third round of layoffs since April 2022, according to The Wall Street Journal. This comes as the trading platform delists Cardano (ADA), Polygon (MATIC) and Solana (SOL), tokens that the SEC named as securities in its recent lawsuits against Binance and Coinbase. ""The Hash"" discusses Robinhood's recent business decisions.",,27-06-2023
Cardano,"ADA, SOL Underperform as Robinhood Gets Set to Delist Them Amid SEC Crackdown","The popular trading app will no longer support the trading of Cardano, Solana and Polygon after Tuesday.",,27-06-2023
Cardano,Robinhood Ending Support for Tokens Named in SEC Lawsuit as Securities,"Robinhood (HOOD), the popular trading platform, is ending support for Cardano (ADA), Polygon (MATIC) and Solana (SOL), three tokens that the SEC named securities in its recent lawsuits against Binance and Coinbase. OANDA Senior Market Analyst of The Americas Edward Moya discusses what Robinhood's delisting of these tokens could mean for bitcoin (BTC).",,27-06-2023
Cardano,Bitcoin Could Reach $40K By End of Year: Analyst,"Edward Moya, OANDA Senior Market Analyst of The Americas, discusses why he thinks bitcoin (BTC) could end the year around the $40,000 level, citing the recent macroeconomic backdrop and the recent flurry of spot bitcoin ETF filings in the U.S. Plus, Moya addresses the possible market reaction to Robinhood ending support for Cardano (ADA), Polygon (MATIC) and Solana (SOL).",,27-06-2023
Cardano,"Bitcoin Holds Above $30K as Investors Await Historically Strong July, Eye Options Expiry","BTC has gained at least 20% in July in each of the past three years. Depending on its price heading into the expiry, bitcoin could rally additionally or retreat.",,26-06-2023
Cardano,Crypto Exchange BIT Unveils Options Market for Cardano's ADA Token,BIT's unified margin system allows ADA holders to trade options at a discount.,,21-06-2023
Cardano,Cardano's ADA Paints 'Death Cross' Amid Regulatory Uncertainty,"Moving average crossovers are lagging Indicators. That said, the latest death cross is consistent with the dour regulatory outlook.",,20-06-2023
Cardano,Latest Cardano Node Upgrade Goes Live on Mainnet,The upgrade 8.1.1 also contains software patches for minor issues from a previous node version.,,20-06-2023
Cardano,"Cardano Developer IOG Restructures to Venture Studio Model, Lays Off Some Staff",The blockchain research and engineering company has cut jobs as it pivots to a smaller venture studio business model.,,12-06-2023
