date,headline,summary
10-05-2021,"After Musk Tried To Explain Dogecoin to ‘SNL’s’ Audience, the Literal Moon is Next Stop for DOGE","Elon Musk’s widely anticipated appearance on “Saturday Night Live” was met with mixed reactions. Some in the crypto community blamed his awkward performance for dogecoin’s drop, but others thought Musk’s performance spread awareness about crypto. “The Hash” panel breaks down Musk’s hosting gig and how it will impact crypto."
10-05-2021,SNL Lights Too Bright for Dogecoin; ESG Investments Join Crypto,Dogecoin flops after Elon Musk’s “SNL” hosting gig while it drives historic trading volumes in Indian cryptocurrency exchanges. Cryptocurrency’s carbon footprint concern gives way to ESG investment opportunities. Introducing biometrics into China’s DCEP testing could up the level of privacy concerns already shown by some.
10-05-2021,"Dogecoin Trading Volume 'Exploding,' Surpasses Bitcoin","Coin Metrics data show Dogecoin’s trading volume has ""exploded,"" even surpassing the trading volume of bitcoin. “All About Bitcoin” host Christine Lee breaks down the Chart of the Day."
12-05-2021,"How Every Empire Falls: Not Inflation, But Devaluation of Currency, Says Morgan Creek Capital Founder","Responding to Wednesday's Consumer Price Index (CPI) report showing consumer prices jumping 4.2%, Morgan Creek Capital Management CEO Mark Yusko says he’s more concerned about the Western world’s systematic devaluation of the currency. He talks about his bullish outlook on bitcoin, potential risks of bitcoin investing, and thoughts on the Dogecoin (DOGE) phenomenon."
13-05-2021,Vitalik Buterin's Re-Gift of Shiba Inu Coin Sends Memecoins Plummeting,"The creator of Ethereum, Vitalik Buterin, sent memecoin prices spiraling after he made a massive donation of an unsolicited dogecoin knockoff, Shiba Inu (SHIB), to charity. ""The Hash"" panel discusses the impact of Buterin's move on the crypto markets."
13-05-2021,Meme Culture Driving Rise of 'Memecoins' in Asian Markets,"Asian crypto exchange OKEx is listing various memecoins, including the dogecoin alternative Shib coin (SHIB). Lennix Lai, OKEx's Director of Financial Markets, joins ""First Mover"" to discuss the rise of memecoins in Asia and the impact of Ethereum creator Vitalik Buterin's massive memecoin donation on the markets. Plus, an update on OKEx's relationship with former CEO Star Xu."
14-05-2021,Understanding Elon Musk's Outsized Crypto Market Influence,"One tweet from Elon Musk can send the crypto markets soaring or, in the case of Tesla's reversal on bitcoin payments, spiraling. Dogecoin has jumped 22 percent after Musk tweeted that he was working with developers to improve the memecoin's network transaction efficiency. Why does Musk have such an impact on the crypto markets? ""All About Bitcoin's"" Week in Review panel discusses. Plus, a discussion of Coinbase's first earnings report."
14-05-2021,Binance CEO Downplays Reports of Money-Laundering Investigation,"The Binance cryptocurrency exchange is reportedly under investigation by the DOJ and IRS, but founder and CEO Changpeng Zhao says the headlines sound more dramatic than the story actually is. CoinDesk’s Nikhilesh De breaks down what we know about the investigations so far. Plus, why will it take Coinbase six weeks to list dogecoin (DOGE)?"
14-05-2021,Elon Musk Says He’s Working With Dogecoin Devs to Improve Network,The price of dogecoin surged after Elon Musk tweeted he was working with the joke coin’s developers to improve the network’s transaction efficiency. This tweet follows on the heels of Musk’s announcement yesterday that Tesla would stop accepting bitcoin as a form of payment.
14-05-2021,There’s Now Almost Zero Correlation Between Dogecoin and Bitcoin,"Dogecoin has taken on a life of its own. The memecoin used to be correlated with the price of bitcoin, but data gathered by CoinDesk’s research team shows the correlation between the two cryptocurrencies has dropped to nearly zero. “All About Bitcoin” host Christine Lee breaks it down in the Chart of the Day."
