date,headline,summary
31-03-2022,What’s Driving the BTC Price Dip?,"MarketGauge's Michele Schneider discusses the possible catalysts for bitcoin market moves, citing a recent vote in the European Union to move forward with restrictive crypto regulations and increased buying by whales like MicroStrategy. Plus, a discussion about bitcoin as a risk-on or risk-off asset and why Schneider is optimistic about Luna, Avalanche, and Solana."
07-04-2022,"Terra Backers Buy $200M in AVAX Tokens, Bolstering Crypto Reserves Beyond BTC",The Luna Foundation Guard bought $100 million in AVAX with UST stablecoins. Terraform Labs swapped an additional $100 million in LUNA for the same value in AVAX.
11-04-2022,Avalanche-Based Blockbuster Game Shrapnel Completes $7M Token Sale,Games studio Neon has raised $17.5 million so far to bring Shrapnel to Avalanche.
14-04-2022,Ava Labs Set to Raise $350M at $5B Valuation: Report,The valuation would put the blockchain builder in the upper echelons of the crypto world by that measure.
21-04-2022,Bitcoin Price Eyes 200-Day Simple Moving Average,"The Strategic Funds Managing Director Marc Lopresti provides his analysis on bitcoin's next move after a three-day price rally. Lopresti also explains why his firm is bullish on altcoins like Avalanche and Solana. Plus, a conversation about the continued growth of institutional interest in crypto, noting a rumored partnership between FTX and Goldman Sachs."
25-04-2022,Crypto Funds Saw Minor Outflows Last Week,Some $7 million flowed out of digital asset funds in the week through April 22.
29-04-2022,Highlights From Crypto Bahamas Conference,"CoinDesk's Zack Seward, Tracy Wang and Danny Nelson share their key takeaways from this year’s Crypto Bahamas conference, highlighting the participation of Wall Street players. The panel discusses which projects are more represented than others, noting that there seems to be more presence of Solana and Avalanche developers and projects than those involved in Ethereum."
04-05-2022,Terra to Provide UST Liquidity on Polygon-Based SynFutures,Terra will provide liquidity for TerraUSD (UST) trade pairs on Polygon-based decentralized finance (DeFi) exchange SynFutures as the stablecoin continues to grow in popularity. “The Hash” group discusses the Luna Foundation Guard’s (LFG) bitcoin acquisitions to back the digital asset and Terra’s efforts to build cultural bridges with external ecosystems like Avalanche.
04-05-2022,Valkyrie Launches Avalanche Trust for TradFi Exposure to AVAX Token,The investments firm has already lined up $25 million for the single-asset trust.
17-05-2022,"ApeCoin Migration Draws Interest From Avalanche, Flow",The Bored Ape Yacht Club-linked ApeCoin DAO is in talks with layer 1 suitors as the project considers a post-Ethereum future.
19-05-2022,Avalanche Says Luna Foundation Guard Has 'Disclosed No Plans' for AVAX Tokens,"Avalanche, the smart-contracts blockchain, says it is ready to work with Luna Foundation Guard on a “sensible trading strategy” if the tokens were to be sold."
20-05-2022,Avalanche Says Luna Foundation Guard Has ‘No Plans' for AVAX Tokens,"Smart-contract blockchain Avalanche said in a tweet that Luna Foundation Guard (LFG), the entity behind Terra blockchain's failed UST stablecoin, has “disclosed no plans” for the 2 million AVAX tokens currently sitting in its treasury. ""The Hash"" hosts discusses the ""collaboration gone wrong"" and why this is a developing story to watch."
25-05-2022,Avalanche Submits Subnet Proposal for ApeCoin DAO’s Metaverse Migration,The proposal comes weeks after Otherside faced issues on Ethereum.
25-05-2022,Avalanche Submits Subnet Proposal for ApeCoin DAO’s Metaverse Migration,"Avalanche (AVAX) developers have asked the ApeCoin (APE) community to consider building out the Bored Ape Yacht Club (BAYC) metaverse as an Avalanche subnet. This comes weeks after the BAYC metaverse Otherside faced issues on Ethereum. ""The Hash"" squad discuss the pros and cons of the Ethereum mainnet and why this is a continuing story to watch."
23-06-2022,Avalanche Bridge Launches Native Bitcoin Support; AVAX Surges 7.4%,The AVAX token is beginning to gain some upside momentum despite a drop-off in DeFi activity.
