date,headline,summary
2020-08-18,Market Wrap: Bitcoin Slides to $11.8K; Uniswap at $7M in Monthly ETH Fees,Bitcoin heads to bearish territory while the Ethereum blockchain’s gas fees continue to be pricey.
2020-08-19,First Mover: Money Legos Turn 'Exuberant' as Chainlink Stripped of 'DeFi',"This year's growth in the cryptocurrency subsector DeFi has been so remarkable that some analysts are now calling the phenomenon ""exuberant."""
2020-08-19,Chainlink to Provide Data for Farming Insurance Startup Arbol,Chainlink will provide climate data for insurance startup Arbol’s weather derivatives. Small to medium sized firms can use the Ethereum-based dapp for hedging natural events.
2020-08-19,Market Wrap: Bitcoin Sinks to $11.6K as Ether’s Gas Keeps Rising,"As bitcoin’s price falls, Ethereum’s fees rise."
2020-08-20,Market Wrap: Bitcoin Breaks $11.8K; BTC in DeFi Doubles in August,Bitcoin price is on the upswing as the amount of the world’s oldest cryptocurrency locked in DeFi jumps.
2020-08-21,Barstool's Dave Portnoy Is Bad at Trading Cryptocurrency,The day trader now owns zero bitcoins after one week of trading.
2020-08-21,"Market Wrap: Bitcoin Dips to $11.6K, ETH Options Predict Price Below $400 by End of Year",Bitcoin’s price is trending down while ether options traders expect bearish moves to come.
2020-08-26,Market Wrap: Bitcoin Braces for $700M in Options to Expire; Record $7B Value Locked in DeFi,Bitcoin price is trending up while crypto keeps flooding into DeFi.
2020-08-29,Chainlink Acquires Blockchain Oracle Solution From Cornell University,Chainlink has acquired privacy-focused oracle solution DECO from Cornell University. The data feed system is also drafting a second white paper for the project.
2020-08-29,Oasis Network Announces Chainlink Oracle Integration to Enable Privacy-Focused DeFi Applications,"Oasis Network, a privacy-centric data-sharing network, said it will integrate Chainlink’s price feeds into its network."
2020-08-31,"First Mover: Huobi Takes On OKEx in Futures, Opening New Front in ‘Chinese’ Rivalry","Huobi is taking on OKEx in the business of bitcoin futures trading, opening a new front in the ongoing rivalry between the two Chinese-led exchanges."
2020-08-31,Market Wrap: Bitcoin Over $11.7K; Uniswap Passes $500M in Daily Volume,"Bitcoin’s price jumped to $11,784 while the top decentralized exchange crossed a half-billion dollars in daily trading volume."
2020-09-01,Market Wrap: Bitcoin Breaks $12K; Uniswap Crosses $1.5B Locked,"Traders are optimistic bitcoin’s price can sustain $12,000 while crypto locked in Uniswap has exploded in the past week."
2020-09-04,BitMEX to List Futures for New Crypto Coins for First Time in Over 2 Years,"BitMEX is adding chainlink and tezos futures, the cryptocurrency derivatives exchange said."
2020-09-08,Market Wrap: Bitcoin Hangs Around $10K; Locked DeFi Value Drops,"Bitcoin price saw little action on Tuesday. Meanwhile, the value of crypto locked in DeFi has gone down for the first time."
2020-09-09,Market Wrap: Bitcoin Makes Headway to $10.3K; Ether Volatility Highest Since May,Bitcoin is making some modest price gains while the ether roller coaster gathers more steam.
2020-09-14,Chainlink to Start Supplying Data for Crypto.com's DeFi Wallet,"The new integration will provide users of Crypto.com's DeFi wallet with access to accurate and untampered price data, ChainLink said."
2020-09-16,"Market Wrap: With Fed Rate Policy Unchanged, Bitcoin Passes $11K; Ether Options Bet on Price Below $400",Bitcoin's price continues to trend upward while the ether options market signals bearish sentiment.
2020-09-18,Market Wrap: Bitcoin Tests $11K; Uniswap Passes $1.5B Locked,"Decentralized finance, or DeFi, is captivating the crypto market, and that is causing weakness for bitcoin."
