date,headline,summary
2020-06-19,Kin Community Approves Move From Stellar Fork to Solana's Blockchain,"Devs, node operators and the Kin Foundation board have approved its move from a fork of the Stellar blockchain to Solana's network."
2020-07-27,FTX to Launch 'Scalable' Decentralized Exchange in Weeks,"Building on the Solana blockchain means the new platform's operations are less restricted than those on Ethereum, the firm says."
2020-07-28,Proof-of-Stake Chains Team Up to Prove DeFi Is Bigger Than Ethereum,"Terra is joining forces with Cosmos, Web3 Foundation and Solana to roll out a DeFi product meant for a wider consumer audience. Meet Anchor."
2020-08-27,Coinbase Custody and Bison Trails Expand Integration to Enable Staking of Solana Tokens,"According to the announcement by Bison Trails, this will allow users on Coinbase Custody to stake their solana (SOL) tokens using secure offline storage."
2020-10-21,USDC Is Coming to Solana Blockchain in Potential Boost for Non-Ethereum DeFi,USDC moves to Solana – its fourth blockchain – one week after also landing on Stellar.
2020-10-29,"Audius, the 'Decentralized Spotify,' Is Moving Part of Its Service to Solana Blockchain","Decentralized music-sharing platform Audius is moving certain hosting functions onto the Solana network, though staking remains on Ethereum."
2020-12-04,Solana Devs Call 'All Hands on Deck' as Unknown Bug Stops Block Production,"Solana, a proof-of-stake (PoS) blockchain championed by FTX CEO Sam Bankman-Fried, is ""stuck"" due to an unknown issue."
2020-12-23,$175K Donation to Coin Center Tops Latest Fundraising Push for Crypto Policy Group,"The donation from a group headlined by NEAR, Solana and Celo comes in addition to $300,000 raised via Gitcoin."
2021-02-03,"Ether Soars to Another All-Time High, Carrying DeFi and Rival Coins With It",Investor excitement ahead of the CME's planned ether futures contract is one reason for the price push.
2021-02-18,"Blockchain Data Indexer 'The Graph' to Support Polkadot, Solana, NEAR and Celo",The project’s custom API “subgraphs” provide data to some of Ethereum’s top DeFi apps.
2021-02-24,"Alameda Leads $40M Round in ‘DeFi Prime Brokerage,’ Plans Maps.me Integration",The firm’s earlier investment in a travel app starts making sense.
2021-03-11,Tether Stablecoin Expands Its Reach to Another Blockchain,Tether has announced the expansion of its USDT token to an eighth blockchain.
2021-03-12,Alameda Research Pumps $20M Into Cross-Chain DeFi Platform Reef Finance,"Sam Bankman-Fried's investment shop has bought $20 million in REEF tokens, with an eye to purchasing more."
2021-03-14,Anchor Begins Countdown to Launch of Bank-Beating DeFi Savings Account,"Anchor was originally slated for an October launch, but the team pushed that back to late November. With the countdown showing on its website, this could really be it."
2021-03-25,OKEx and MXC to Invest $40M in Solana-Based Projects in DeFi Arms Race,The funds will pay developers and projects building on the Solana ecosystem.
2021-04-13,"Solana Dashboard Step Finance Raises $2M From Alameda Research, 3 Commas",Investors are betting on Step Finance emerging as the “front page” of the high-throughput Solana blockchain.
2021-04-19,Market Wrap: Bitcoin Recovers From Sunday Slump to $56K as Doge Jumps 19%,Volumes on the CoinDesk 20 eight spot BTC venues was over $8 billion for the first time since Feb. 23.
2021-04-20,"Solana Bucked Bitcoin Sell-Off; Upstart Blockchain Challenges Ethereum on Speed, Fees","Solana's SOL tokens have jumped 17-fold in price this year, for a market capitalization over $8 billion."
2021-04-28,Serum Token Becomes Latest Project in Bankman-Fried Empire to Turn Heads,FTX-backed serum has surged to an all-time high price.
2021-05-06,NFT Platforms Continue to Attract Venture Capital Money,"Investor money continues to pour into the NFT sphere. Jay-Z is among the backers of a $19 million funding round for Bitski, and the team behind the infamous Banksy burning NFT has raised $3 million to build a new NFT platform on the Solana blockchain. “The Hash” panel unpacks these latest developments."
2021-05-06,Banksy Burners Raise $3M to Build NFT Platform on Solana,Burnt Finance is taking a token-centric approach to decentralizing NFT auctions.
2021-05-07,5 New Funds Bring $100M to Boost Growth of the Solana Ecosystem,The funds are each bringing $20 million in investment to boost growth and development for Solana in the Chinese region.
2021-05-12,Solana Foundation Draws $60M to Support Blockchain Development,"The funds, provided by Hacken, Gate.io, Coin DCX and BRZ, will focus on growing the Solana ecosystem in Brazil, India, Russia and Ukraine."
2021-05-20,Cryptocurrencies.AI Raises $8M to Merge Decentralized and Centralized Trading,The firm is building a centralized exchange and a decentralized one on the Solana blockchain.
2021-05-27,Censorship Resistance is at the Heart of the Solana Network,"Is Solana an ""Eth-Killer""? Anatoly Yakovenko, CEO of Solana, joins ""The Hash"" to explain why Solana is a faster, cheaper alternative to Ethereum and the problems it was created to solve."
2021-05-28,Exchange Aggregator OpenOcean Enables Trading on Solana Network,DeFi traders using OpenOcean can now make swaps on Solana-based exchanges.
2021-06-02,Metaplex Foundation Launches Solana-Based NFT Marketplace,"“Metaplex will do for NFTs what Shopify did for commerce, but takes it one step further by not acting as the middleman,” said musician RAC."
2021-06-03,Solana Launches $20M Fund to Advance Ecosystem in Korea,"The launch comes only weeks after Solana drew $60 million in funding for projects in Brazil, Russia, India and Ukraine."
2021-06-05,Solana Blockchain Raising Up to $450M: Report,Solana had planned on closing a smaller round in March but boosted its ambitions in response to strong demand.
2021-06-09,"Solana Labs Raises $314M in Token Sale Led by A16z, Polychain",It's one of the largest token sales in recent memory.
2021-06-09,"Solana Labs Raises $314M in Token Sale Led by A16z, Polychain","Solana Labs has raised $314 million from top crypto venture firms, including Andreessen Horowitz and Polychain Capital. One of the most significant token sales in recent memory, it supercharges plans to build an expansive decentralized finance (DeFi) ecosystem on the Solana blockchain. Is Solana becoming a leading contender as the “ethereum killer?”"
2021-06-10,Solana-Based Oxygen Taps Jump Trading in Bid to Be DeFi’s Top ‘Prime Brokerage’,"Oxygen will enter its beta stage in the next two to three months, co-founder Alex Grebnev said."
2021-06-16,Solana Foundation Leads $3M Investment in Blockchain Data Platform PARSIQ,"Evan Cheng, the director of research at Facebook’s Novi Financial, is also joining the project as an adviser."
2021-06-16,Step Finance to Aggregate Solana’s Decentralized Exchanges Onto Dashboard,"The Solana ecosystem is backed heavily by Sam Bankman-Fried, and has been pitched as a faster, cheaper alternative to Ethereum."
2021-06-22,Solana-Based Pyth Network Adds Institutional Crypto Exchange LMAX as Data Provider,LMAX will provide foreign exchange and crypto trading data.
2021-06-25,21Shares Launching World’s First Solana ETP on SIX Swiss Exchange,The exchange-traded product will track the performance of Solana’s native SOL token.
2021-07-06,Solrise Finance Raises $3.4M for Non-Custodial Protocol on Solana,Solrise said the capital will be used to make the DeFi ecosystem more accessible to wider investor audiences.
2021-07-06,CryptoKickers Is Bringing NFT Sneakers to the Hypebeasts of the Metaverse,Sole Selector lets users design and mint their own sneaker NFTs on the Solana blockchain.
2021-07-12,Power Ledger to Move to Solana From Ethereum,The firm cited higher speed and scalability as motivations for the shift.
2021-07-12,Is Solana Better Than Ethereum?,"Australia-based blockchain company Power Ledger is migrating to Solana from Ethereum in search of higher speed and scalability. ""The Hash"" hosts discuss Solana as a rising protocol looking to take on Ethereum's dominance in the DeFi space. ""Ethereum's very likely to be the winner here,"" host Adam B. Levine said, despite Solana's advantage over transaction speed."
2021-07-13,"CoinFund, ParaFi Lead $5.2M Seed Round for Liquidity Staking Platform ClayStack",The funding round also attracted investments from Coinbase Ventures and the Solana Foundation.
2021-07-14,A16z Leads $9M Funding Round for Solana's Phantom Wallet to Go Multi-Chain,"The funding will be used to expand the Phantom team, develop new features and expand to other blockchains, said the firm."
2021-07-15,Bitcoin Trending Down After Earlier Gains,Intraday volume for the world's oldest cryptocurrency remains considerably lower than weeks past.
2021-07-20,Coinbase’s Bison Trails Adds Developer Tool for Solana Blockchain,The network is now among the 20 or so supported by Bison Trails’ “Query & Transact” product.
2021-07-23,Solana Offers $5M Fund for Creators to Start Building on Web 3.0,"The Solana Foundation and two of the network’s leading platforms, Audius and Metaplex, are putting $5 million towards the Solana Creator Fund to lure 1,000 musicians and artists into building on Web 3.0. ""The Hash"" panel discusses how the fund may contribute to the future of Web 3.0, exploring the power of the Solana blockchain as a potential source of income for creators."
2021-07-23,Solana Woos Creators With $5M Fund for Artists and Musicians,"The Solana Foundation, Audius and Metaplex are trying to get 1,000 creators to start building on Web 3."
2021-07-27,Solana's Saber Labs Raises $7.7M in Seed Funding Round Led by Race Capital,"Funding will go toward three main areas including hiring, marketing as well as business and product development."
2021-07-27,'No-Code' Platform for Token Minting Introduced on Solana,MintingLab does not require any coding knowledge for minting and managing tokens.
