date,headline,summary
2022-12-09,SBF's Alameda Research Secretly Funded Crypto Media Site 'The Block'; Crypto Contagion Concerns,"Crypto media site The Block was secretly funded over the last two years by Sam Bankman-Fried’s Alameda Research, The Block confirmed on Friday. Bernstein reacted to Genesis’ extended withdrawal freeze, saying that saving Grayscale would cost a fortune for Digital Currency Group (DCG), which owns Genesis Trading, Grayscale and CoinDesk. Plus, details on Coinbase asking users to switch USDT for USDC and Bankman-Fried agreeing to testify before U.S. House Financial Committee."
2022-12-27,Japan Plans to Allow Local Listing of 'Foreign' Stablecoins Such as USDT and USDC: Nikkei,The Financial Services Agency is seeking feedback on new stablecoin regulations set to take effect in 2023.
2022-12-29,How Tether Can Be a More Stable Stablecoin,"Tether, the world's biggest stablecoin, has a problem. When the going gets tough, Tether users want out of Tether. What can the company do to change things?"
2023-01-10,Crypto.com Delists Tether’s USDT Stablecoin for Canadian Users,The move comes after the Canadian Securities Administrators committed to stronger oversight over crypto exchanges following the demise of FTX.
2023-02-09,Tether Reports $700M Profit For Q4 2022 In Latest Attestation Report,"Tether, issuer of the world's largest stablecoin, reported a $700 million profit in the fourth quarter of 2022 and said it completely moved away from holding commercial paper as part of the reserves backing its USDT token. ""The Hash"" panel discusses the latest from Tether and the larger implications for the stablecoin market."
2023-02-13,Binance USD's $16B Market Cap Up for Grabs as Paxos Regulatory Action Stirs Up Stablecoin Rivalry,Tether’s USDT stablecoin will likely be a big winner as Paxos stops issuing Binance USD stablecoin after being sued by the top U.S. securities watchdog.
2023-02-15,Tether's USDT Gains $1B as Paxos Burns Over $1.8B of Binance USD Stablecoins,The increase comes as BUSD issuer Paxos faces increasing regulatory scrutiny.
2023-02-16,BUSD Drama Sets Stage for Stablecoin Market Reshuffling,Binance’s bet on its BUSD stablecoin could backfire into a revamping of who’s winning in crypto’s dollar-pegged token markets.
2023-03-03,Stablecoin Issuer Tether Used Bank Accounts Opened With Falsified Documents in Past: WSJ,"Tether, the company behind the world's largest stablecoin, accessed bank accounts by way of falsified documents and intermediaries, a new report says."
2023-03-06,Tether's USDT Stablecoin Market Share Rises to Highest Level in 15 Months,"USDT’s market share among stablecoins surpassed 54% on Monday, its highest level since November 2021."
2023-03-06,Silvergate’s Struggles Will Likely Boost Stablecoins’ Role in Crypto Trading: Kaiko,"Ailing crypto-friendly bank Silvergate closed its instant settlement SEN platform, which has been a key on-ramp for institutional crypto investors to transfer U.S. dollars to exchanges."
2023-03-09,Dominance of Tether’s USDT Is Rising Among Stablecoins: Data,"Earlier this week, USDT’s market share among stablecoins surpassed 54%, data from CoinGecko shows. This is the largest market share Tether’s stablecoin has reached since late November 2021, after the crypto bull market reached its apex. Crypto Critics' Corner co-host Bennett Tomlin discusses the outlook for stablecoins and reacts to the Wall Street Journal report that alleges Tether accessed bank accounts by way of falsified documents and intermediaries."
2023-03-11,USDC Stablecoin Depegs From $1; Circle Says Operations Are Normal,"USDC/USDT dropped as low as 94 cents on Kraken, its lowest level since April 2021."
2023-03-11,Coinbase Pauses Conversions Between USDC and U.S. Dollars as Banking Crisis Roils Crypto,Circle earlier confirmed it has $3.3 billion backing its USDC stablecoin parked at now-shuttered Silicon Valley Bank.
2023-03-11,"USDC Stablecoin Depegs, Crypto Market Goes Haywire After Silicon Valley Bank Collapses",USDC's normally stable price sank to 87 cents from $1 while Ethereum gas fees soared hours after the crypto-tied bank failed.
2023-03-11,DAI Depegs to Lifetime Lows as Stablecoin Rout Plagues Crypto,MakerDAO’s decentralized stablecoin hit an all-time low of 88 cents in Asian afternoon hours on Saturday.
2023-03-13,Smart Money Staying Put as USDC Remains Off Peg,"Data from Nansen shows the total amount held by smart money wallets, and active addresses, are at multi-month lows."
2023-03-22,Telegram Users Can Now Transfer USDT Through Chats,"USDT has been added to the @wallet bot on Telegram, expanding the messaging app's facility for buying and selling crypto."
2023-03-27,Binance's Bitcoin Trading Volume Hits Lowest Level in 8 Months Following Termination of Zero-Fee Trading,Zero-fee trade volume accounted for 66% of Binance’s trading volume in mid-March prior to the decision to eliminate the promotion.
2023-03-29,USDC Outflows Surpass $10B as Tether’s Stablecoin Dominance Reaches 22-Month High,Rival stablecoin tether (USDT) has reached its largest market share since May 2021 and now represents 60% of all stablecoins in circulation.
